seq,dataset,scan,eic,version,io_method,io_workers,shared_buffers,selectivity_rows,selectivity_pages,timing_cold,numeric
258,uniform,bitmapscan,1,master,worker,12,32GB,0.002,0.035,17.798,1.359
259,uniform,indexscan,0,prefetch-complex,worker,12,32GB,0.063,1.134,406.616,8.883
260,uniform,bitmapscan,1,prefetch-simple,io_uring,3,32GB,37.3,99.979,5394.257,1181.104
261,uniform,bitmapscan,0,prefetch-complex,sync,3,32GB,0.093,1.668,568.296,14.862
262,uniform,indexscan,64,prefetch-simple,worker,12,32GB,0.003,0.056,7.286,1.629
263,uniform,bitmapscan,64,prefetch-complex,io_uring,3,32GB,77.3,100.0,3033.126,1391.334
264,uniform,indexscan,1,master,io_uring,3,32GB,0.004,0.073,23.664,1.809
265,uniform,bitmapscan,16,prefetch-complex,worker,12,32GB,0.009,0.16,21.833,3.073
266,uniform,bitmapscan,1,prefetch-complex,sync,3,32GB,0.476,8.228,3827.049,56.9
267,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,57.309,100.0,2843.964,1254.569
268,uniform,indexscan,64,prefetch-complex,worker,12,32GB,0.009,0.162,18.401,2.866
269,uniform,bitmapscan,0,master,worker,12,32GB,0.027,0.492,207.281,6.021
270,uniform,indexscan,1,prefetch-complex,worker,3,32GB,87.312,100.0,44340.792,6887.533
271,uniform,bitmapscan,1,prefetch-complex,worker,12,32GB,57.293,100.0,5662.216,1328.538
272,uniform,indexscan,64,master,worker,12,32GB,1.065,17.538,6179.77,103.464
273,uniform,bitmapscan,16,prefetch-simple,worker,3,32GB,97.304,100.0,3061.387,1327.462
274,uniform,bitmapscan,0,prefetch-simple,io_uring,3,32GB,0.009,0.159,53.132,2.865
275,uniform,bitmapscan,64,prefetch-complex,sync,3,32GB,0.475,8.214,844.635,56.719
276,uniform,indexscan,16,prefetch-simple,sync,3,32GB,5.41,63.292,6732.599,460.074
277,uniform,bitmapscan,16,prefetch-simple,io_uring,3,32GB,0.212,3.753,428.354,26.583
278,uniform,bitmapscan,64,prefetch-simple,worker,3,32GB,0.002,0.037,6.447,1.443
279,uniform,indexscan,0,prefetch-simple,worker,12,32GB,0.71,12.039,4215.104,69.008
280,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,0.006,0.108,35.819,3.284
281,uniform,indexscan,64,prefetch-simple,io_uring,3,32GB,0.007,0.118,14.706,2.21
282,uniform,bitmapscan,0,master,worker,3,32GB,2.393,35.336,8820.691,372.678
283,uniform,bitmapscan,16,master,io_uring,3,32GB,0.019,0.346,40.331,4.678
284,uniform,indexscan,64,prefetch-simple,worker,12,32GB,0.02,0.355,39.04,4.376
285,uniform,bitmapscan,0,prefetch-simple,worker,12,32GB,0.001,0.018,7.242,1.138
286,uniform,indexscan,1,master,sync,3,32GB,18.194,97.304,25310.833,1679.077
287,uniform,indexscan,0,prefetch-simple,worker,12,32GB,1.604,25.234,9177.745,160.811
288,uniform,indexscan,16,prefetch-simple,sync,3,32GB,1.064,17.509,2080.271,96.259
289,uniform,bitmapscan,0,master,worker,12,32GB,0.001,0.017,7.014,1.13
290,uniform,indexscan,1,master,io_uring,3,32GB,0.013,0.234,79.872,3.309
291,uniform,indexscan,64,prefetch-complex,worker,12,32GB,0.001,0.018,3.879,1.253
292,uniform,bitmapscan,0,prefetch-simple,worker,3,32GB,0.094,1.688,570.074,14.572
